Region,Animal species,Production system,Commodity,Emission Intensity (kg CO2e per kg protein),Production (kg protein),Total GHG emissions (kg CO2e),Total CO2 emissions (kg CO2e),Total CH4 emissions (kg CO2e),Total N2O emissions (kg CO2e),"Feed, CO2 (kg CO2e)","Feed, CH4 (kg CO2e)","Feed: fertilizer & crop residues, N2O (kg CO2e)","Feed: applied & deposited manure, N2O (kg CO2e)","LUC: soy & palm, CO2 (kg CO2e)","LUC: pasture expansion, CO2 (kg CO2e)","Enteric fermentation, CH4 (kg CO2e)","Manure management, CH4 (kg CO2e)","Manure management, N2O (kg CO2e)","Direct energy, CO2 (kg CO2e)","Indirect energy, CO2 (kg CO2e)","Postfarm, CO2 (kg CO2e)"
Sub-Saharan Africa,Chicken,Broilers,Aggregated,41,222721336.00,9128664975.00,7395918164.00,81272931.00,1651473880.00,2401064276.00,,474914615.00,900838661.00,3500872997.00,,,81272931.00,275720603.00,775580985.00,72899007.00,645500899.00
Sub-Saharan Africa,Chicken,Broilers,Meat,41,222721336.00,9128664975.00,7395918164.00,81272931.00,1651473880.00,2401064276.00,,474914615.00,900838661.00,3500872997.00,,,81272931.00,275720603.00,775580985.00,72899007.00,645500899.00
Western Europe,Cattle,Aggregated,Aggregated,64.3,5542164596.00,356219309711.00,83815442235.00,181745012441.00,90658855034.00,39537897334.00,,26171974038.00,50393112629.00,12733996511.00,,156613567223.00,25131445218.00,14093768368.00,8578444329.00,3829345110.00,19135758953.00
Western Europe,Cattle,Aggregated,Milk,47.2,4370711490.00,206301316535.00,52881766139.00,105763042527.00,47656507870.00,20692049027.00,,13627247159.00,26185786270.00,5812131399.00,,88879591622.00,16883450905.00,7843474441.00,7345394126.00,1059850319.00,17972341267.00
Western Europe,Cattle,Aggregated,Meat,128,1171453106.00,149917993176.00,30933676097.00,75981969915.00,43002347164.00,18845848306.00,,12544726879.00,24207326359.00,6921865112.00,,67733975601.00,8247994313.00,6250293927.00,1233050203.00,2769494790.00,1163417686.00
Western Europe,Cattle,Grassland systems,Aggregated,66.5,1808417480.00,120310355753.00,25814399188.00,60564067649.00,33931888916.00,13118367397.00,,9274824838.00,20214312699.00,2670063197.00,,52894586068.00,7669481581.00,4442751378.00,2785726563.00,1169677213.00,6070564818.00
Western Europe,Cattle,Grassland systems,Milk,47,1410055324.00,66214305724.00,16015945776.00,33257953997.00,16940405951.00,6549196860.00,,4498088899.00,10018484097.00,1128397031.00,,28187120577.00,5070833421.00,2423832955.00,2371341641.00,300928597.00,5666081647.00
Western Europe,Cattle,Grassland systems,Meat,135.8,398362156.00,54096050029.00,9798453412.00,27306113652.00,16991482965.00,6569170537.00,,4776735939.00,10195828603.00,1541666166.00,,24707465491.00,2598648161.00,2018918423.00,414384922.00,868748616.00,404483171.00
Western Europe,Cattle,Mixed systems,Aggregated,63.2,3727972634.00,235436504087.00,57849873303.00,120977158239.00,56609472545.00,26338213047.00,,16864122040.00,30146350844.00,10020677167.00,,103525414571.00,17451743668.00,9598999662.00,5781619130.00,2651954943.00,13057409015.00
Western Europe,Cattle,Mixed systems,Milk,47.3,2960656166.00,140087010811.00,36865820363.00,72505088530.00,30716101919.00,14142852167.00,,9129158259.00,16167302173.00,4683734368.00,,60692471045.00,11812617484.00,5419641486.00,4974052485.00,758921723.00,12306259620.00
